Time,Register,Valid_user_num,Revoke,Revoked_user_num,BF_false_positive,New_acc_wit,Revoke_in_acc,Acc_update,BF_false_positive_rate,CH_update_block,CH_update
0,4997,4997,0,0,0,0,0,0,0.0000,0,0
1,5083,10080,0,0,0,0,0,0,0.0000,0,0
2,5050,15130,0,0,0,0,0,0,0.0000,0,0
3,5150,20280,0,0,0,0,0,0,0.0000,0,0
4,4921,25201,0,0,0,0,0,0,0.0000,0,0
5,4955,30156,0,0,0,0,0,0,0.0000,0,0
6,5031,35187,0,0,0,0,0,0,0.0000,0,0
7,5039,40226,0,0,0,0,0,0,0.0000,0,0
8,5091,45317,0,0,0,0,0,0,0.0000,0,0
9,5031,50348,0,0,0,0,0,0,0.0000,0,0
10,5056,55404,0,0,0,0,0,0,0.0000,0,0
11,5048,60452,0,0,0,0,0,0,0.0000,0,0
12,5086,65538,0,0,0,0,0,0,0.0000,0,0
13,5010,70548,0,0,0,0,0,0,0.0000,0,0
14,5189,75737,0,0,0,0,0,0,0.0000,0,0
15,5080,80817,0,0,0,0,0,0,0.0000,0,0
16,4949,85766,0,0,0,0,0,0,0.0000,0,0
17,5003,90769,0,0,0,0,0,0,0.0000,0,0
18,5004,95773,0,0,0,0,0,0,0.0000,0,0
19,4983,100756,0,0,0,0,0,0,0.0000,0,0
20,4951,105700,7,7,0,0,0,0,0.0000,6,30195
21,4976,110569,107,114,0,0,0,0,0.0000,22,110569
22,4918,115316,171,285,0,0,0,0,0.0000,23,115316
23,5093,119701,709,994,0,0,0,0,0.0000,24,119701
24,5003,124597,107,1101,0,0,0,0,0.0000,25,124597
25,5086,129461,223,1324,0,0,0,0,0.0000,26,129461
26,4943,133514,894,2218,4,4,0,0,0.0000,27,133514
27,4928,137988,457,2675,10,6,0,0,0.0001,28,137988
28,5027,142268,753,3428,19,9,0,0,0.0001,29,142268
29,4968,146140,1102,4530,41,23,1,18,0.0003,30,146140
30,5011,150650,503,5033,53,12,0,0,0.0004,31,150650
31,5012,153452,2224,7257,129,76,0,0,0.0008,32,153452
32,4995,158276,171,7428,140,11,0,0,0.0009,33,158276
33,5031,163277,30,7458,145,5,0,0,0.0009,18,86376
34,4908,167337,849,8307,206,61,0,0,0.0012,35,167337
35,5131,171543,927,9234,276,70,0,0,0.0016,36,171543
36,5039,176009,573,9807,336,61,1,275,0.0019,37,176009
37,4974,178413,2587,12394,640,309,5,331,0.0036,38,178413
38,4982,182039,1364,13758,848,213,5,635,0.0047,39,182039
39,5061,187065,35,13793,870,23,1,847,0.0047,24,112349
40,4997,191946,116,13909,921,51,0,0,0.0048,39,182718
41,4973,196739,180,14089,965,44,0,0,0.0049,42,196739
42,4945,201675,9,14098,998,33,0,0,0.0049,9,42549
43,4886,204892,1675,15773,1346,352,4,994,0.0066,44,204892
44,5109,209621,380,16153,1474,128,0,0,0.0070,45,209621
45,4918,214497,42,16195,1523,49,0,0,0.0071,32,150216
46,5002,218974,526,16721,1684,166,5,1518,0.0077,47,218974
47,4951,222523,1408,18129,2087,414,11,1673,0.0094,48,222523
48,4972,226714,783,18912,2374,292,5,2082,0.0105,49,226714
49,4963,231022,655,19567,2634,268,8,2366,0.0114,50,231022
50,5016,236004,34,19601,2708,74,0,0,0.0115,24,110987
51,4914,240335,584,20185,2953,252,7,2701,0.0123,52,240335
52,4966,244479,827,21012,3338,395,10,2943,0.0137,53,244479
53,5022,249369,132,21144,3467,129,0,0,0.0139,45,207924
54,4890,253856,403,21547,3690,228,5,3462,0.0145,55,253856
55,4986,257328,1516,23063,4468,806,28,3662,0.0174,56,257328
56,5170,262057,441,23504,4771,311,8,4460,0.0182,57,262057
57,5050,266880,227,23731,4950,181,2,4769,0.0185,58,266880
58,4919,271036,766,24497,5446,511,15,4935,0.0201,59,271036
59,5109,275584,562,25059,5867,434,13,5433,0.0213,60,275584
60,5055,279832,808,25867,6463,617,21,5846,0.0231,61,279832
61,5038,283742,1133,27000,7359,919,23,6440,0.0259,62,283742
62,5020,287090,1676,28676,8664,1342,37,7322,0.0302,63,287090
63,4968,291872,186,28862,8944,286,6,8658,0.0306,62,283319
64,5066,296021,921,29783,9843,928,29,8915,0.0333,65,296021
65,4935,300661,296,30079,10244,412,11,9832,0.0341,66,300661
66,4898,304687,872,30951,11128,905,21,10223,0.0365,67,304687
67,4950,309208,429,31380,11703,584,9,11119,0.0378,68,309208
68,5023,313960,271,31651,12161,465,7,11696,0.0387,66,300025
69,4968,318525,403,32054,12747,601,15,12146,0.0400,69,314312
70,5082,323581,26,32080,12996,250,1,12746,0.0402,21,95132
71,4904,328073,413,32493,13605,619,10,12986,0.0415,72,328073
72,4928,331997,1005,33498,14860,1280,25,13580,0.0448,73,331997
73,5008,336252,755,34253,15870,1050,40,14820,0.0472,74,336252
74,4952,340347,857,35110,17136,1308,42,15828,0.0503,75,340347
75,5030,345017,360,35470,17786,679,29,17107,0.0516,76,345017
76,5068,349329,758,36228,18969,1218,35,17751,0.0543,77,349329
77,4896,352995,1233,37461,20801,1905,73,18896,0.0589,78,352995
78,4968,356900,1063,38524,22408,1682,75,20726,0.0628,79,356900
79,4912,361766,46,38570,22774,372,6,22402,0.0630,32,143261
80,5067,366786,47,38617,23148,377,3,22771,0.0631,35,158939
81,4974,371505,255,38872,23780,646,14,23134,0.0640,76,344434
82,4942,376162,285,39157,24529,763,14,23766,0.0652,80,363356
83,5107,380384,885,40042,26114,1631,46,24483,0.0687,84,380384
84,4915,385289,10,40052,26464,351,1,26113,0.0687,10,44965
85,4995,390232,52,40104,26858,399,5,26459,0.0688,41,186429
86,5003,394918,317,40421,27713,873,18,26840,0.0702,86,390799
87,5040,399358,600,41021,28943,1284,54,27659,0.0725,87,395218
88,4941,402511,1789,42810,32100,3297,140,28803,0.0797,89,402511
89,4914,407361,64,42874,32589,494,5,32095,0.0800,47,211978
90,5036,411665,733,43607,34238,1705,56,32533,0.0832,91,411665
91,5081,416386,360,43967,35277,1060,21,34217,0.0847,89,403583
92,5100,420827,662,44629,36792,1568,53,35224,0.0874,93,420827
93,5068,425344,552,45181,38199,1458,51,36741,0.0898,94,425344
94,4965,430167,142,45323,38917,731,13,38186,0.0905,69,313711
95,5021,435143,45,45368,39464,551,4,38913,0.0907,37,169963
96,4944,439438,649,46017,41233,1808,39,39425,0.0938,97,439438
97,5041,444422,57,46074,41861,633,5,41228,0.0942,47,212895
98,5010,449217,215,46289,42805,963,19,41842,0.0953,87,394151
99,5061,454140,138,46427,43557,764,12,42793,0.0959,72,328485
